User ID,E-mail,First Name,Last Name,Roles,Enabled

30,selena@anoe.com,Selena,Any,[Salesperson],true
3,may582@hotmail.com,May,Brown,[Shipper],false
16,will52@hotmail.com,Will,Goote,"[Editor, Assistant]",true
36,cute@gmail.com,Cute,Guyes,[Admin],true
22,lily@lom.com,Lily,Irine,[Salesperson],true
37,abc123@gmail.com,Abc,KIL,[Editor],true
32,beele@poy.com,Beele,Komley,[Editor],true
27,leila@gmail.com,Leila,Loopee,[Salesperson],true
21,robert@aeo.gov,Robert,Love,"[Salesperson, Editor]",true
17,dave@yahoo.com,Dave,Lowen,[Editor],true
31,ann123@lom.com,Ann,Lowo,[Shipper],false
28,moon@yab.com,Moon,Noly,[Admin],true
14,mike789@perscholas.org,Mike,Olive,[Assistant],false
29,dooly@gmail.com,Dooly,Patric,[Salesperson],true
26,oio@hotmail.com,Oiola,POUL,[Salesperson],true
15,tiger@perscholas.org,Tiger,Victor,"[Editor, Shipper]",false
20,frank@gmail.com,Frank,Vinyce,[Salesperson],true
33,uenew@hoa.com,Uenew,Yieghe,"[Editor, Shipper]",true
1,hea.er@gmail.com,Heather,Zomnie,[Admin],false
